Date,Time,O3,PM_10,PM_25,NO2,SO2,CO,Temperature,Humidity,Precipitation
13/08/2021,14:15:05,66,17,12,4,5,172,24,68,13,Небольшая облачность
13/08/2021,15:15:05,64,18,13,4,6,174,25,60,13,Небольшая облачность
13/08/2021,16:15:04,63,12,7,3,7,176,25,60,13,Небольшая облачность
13/08/2021,17:15:04,67,13,7,3,6,172,24,56,13,Небольшая облачность
13/08/2021,18:15:04,71,14,8,3,5,169,22,60,13,Небольшая облачность
13/08/2021,19:15:05,67,12,5,3,4,165,21,59,13,Небольшая облачность
13/08/2021,20:15:05,66,12,5,3,3,162,19,67,9,Облачно с прояснениями
13/08/2021,21:15:05,65,12,5,4,3,160,18,77,6,Облачно с прояснениями
13/08/2021,22:15:04,64,10,7,4,2,158,18,72,9,Облачно с прояснениями
13/08/2021,23:15:04,62,10,7,3,2,154,17,77,6,Ясно
14/08/2021,00:15:05,60,10,7,3,2,150,16,87,6,Ясно
14/08/2021,01:15:05,58,9,5,3,2,136,17,82,6,Ясно
14/08/2021,02:15:05,57,9,6,2,2,135,16,87,6,Ясно
14/08/2021,03:15:04,56,9,6,2,1,135,16,87,6,Ясно
14/08/2021,04:15:05,50,12,7,5,1,134,16,87,6,Ясно
14/08/2021,05:15:04,50,12,7,4,1,132,15,93,2,Солнечно
14/08/2021,06:15:04,50,11,7,4,1,130,15,93,2,Солнечно
14/08/2021,07:15:04,50,11,7,4,1,127,16,87,км/ч,Солнечно
14/08/2021,08:15:05,55,12,6,4,1,125,17,87,2,Солнечно
14/08/2021,09:15:05,60,12,6,4,1,122,19,77,2,Солнечно
14/08/2021,10:15:04,64,21,13,2,1,150,19,77,6,Солнечно
14/08/2021,11:15:04,69,11,6,4,1,118,20,72,6,Солнечно
14/08/2021,12:15:04,74,11,6,4,2,117,21,64,9,Солнечно
14/08/2021,13:15:05,83,11,6,5,1,117,21,64,9,Солнечно
14/08/2021,14:15:04,84,12,6,5,1,116,22,64,6,Небольшая облачность
14/08/2021,15:15:04,86,12,6,5,1,115,23,56,6,Небольшая облачность
14/08/2021,16:15:05,73,10,5,5,1,115,24,46,6,Небольшая облачность
14/08/2021,17:15:04,73,11,6,6,1,116,24,46,9,Небольшая облачность
14/08/2021,18:15:04,72,11,6,6,1,116,23,52,9,Небольшая облачность
14/08/2021,19:15:04,75,11,6,6,1,117,21,68,2,Солнечно
14/08/2021,20:15:04,69,12,7,9,2,134,17,82,км/ч,Ясно
14/08/2021,21:15:04,62,13,7,12,3,150,16,87,км/ч,Ясно
14/08/2021,22:15:05,53,14,9,13,4,167,15,87,км/ч,Ясно
14/08/2021,23:15:05,51,14,9,12,4,175,14,93,км/ч,Ясно
15/08/2021,00:15:04,49,14,9,11,5,184,15,87,6,Ясно
15/08/2021,01:15:04,45,13,8,9,5,197,14,93,2,Ясно
15/08/2021,02:15:04,45,13,8,8,5,190,13,93,6,Ясно
15/08/2021,03:15:04,46,12,8,7,4,183,13,93,6,Ясно
15/08/2021,04:15:05,46,12,7,7,4,175,13,93,6,Ясно
15/08/2021,05:15:05,48,12,7,7,3,174,12,93,6,Солнечно
15/08/2021,06:15:04,49,12,7,7,2,173,15,82,2,Солнечно
15/08/2021,07:15:04,48,13,7,6,2,172,17,77,6,Солнечно
15/08/2021,08:15:05,56,13,7,6,2,168,20,68,9,Солнечно
15/08/2021,09:15:04,63,13,7,5,2,164,22,56,9,Солнечно
15/08/2021,10:15:05,69,17,12,3,2,162,23,52,6,Солнечно
15/08/2021,11:15:05,74,14,7,4,2,149,24,49,9,Небольшая облачность
15/08/2021,12:15:04,79,14,8,4,2,137,25,41,9,Небольшая облачность
15/08/2021,13:15:04,81,16,8,3,1,129,26,38,9,Небольшая облачность
15/08/2021,14:15:04,84,16,8,3,1,128,26,38,9,Небольшая облачность
15/08/2021,15:15:05,87,17,8,4,1,127,26,31,9,Небольшая облачность
15/08/2021,16:15:04,75,20,9,2,1,125,26,31,9,Небольшая облачность
15/08/2021,17:15:04,73,20,9,3,1,127,26,31,9,Небольшая облачность
15/08/2021,18:15:05,71,19,9,4,1,128,26,36,6,Солнечно
15/08/2021,19:15:04,70,19,8,4,1,129,23,56,км/ч,Солнечно
15/08/2021,20:15:05,64,20,9,6,1,135,18,72,км/ч,Ясно
15/08/2021,21:15:04,58,21,9,8,1,141,16,82,км/ч,Ясно
15/08/2021,22:15:04,48,16,8,10,2,146,15,87,км/ч,Ясно
15/08/2021,23:15:04,49,16,8,9,2,153,15,82,км/ч,Ясно
16/08/2021,00:15:04,50,16,8,8,1,159,15,82,2,Ясно
16/08/2021,01:15:04,53,14,7,7,2,150,14,82,км/ч,Ясно
16/08/2021,02:15:04,54,14,7,6,1,152,14,82,2,Ясно
16/08/2021,03:15:04,55,14,7,5,1,154,14,82,2,Ясно
16/08/2021,04:15:04,59,12,6,6,1,156,14,82,2,Ясно
16/08/2021,05:15:04,58,13,7,7,1,157,14,82,6,Солнечно
16/08/2021,06:15:04,58,13,7,7,1,158,17,72,9,Солнечно
16/08/2021,07:15:05,56,13,7,7,1,159,20,63,9,Солнечно
16/08/2021,08:15:05,60,13,7,7,1,154,21,59,13,Солнечно
16/08/2021,09:15:04,65,13,7,6,1,149,23,52,9,Солнечно
16/08/2021,10:15:05,66,11,7,4,2,144,26,47,6,Солнечно
16/08/2021,11:15:04,71,12,7,4,2,138,27,41,17,Солнечно
16/08/2021,12:15:04,77,13,7,4,2,131,28,39,17,Солнечно
16/08/2021,13:15:04,77,14,9,2,2,114,28,39,13,Солнечно
16/08/2021,14:15:05,79,15,9,3,2,115,29,36,13,Небольшая облачность
16/08/2021,15:15:05,82,16,10,3,2,116,29,39,13,Небольшая облачность
16/08/2021,16:15:05,70,15,8,4,1,117,29,39,13,Небольшая облачность
16/08/2021,17:15:04,68,15,9,4,1,119,29,39,9,Небольшая облачность
16/08/2021,18:15:04,66,15,9,5,2,121,27,47,6,Небольшая облачность
16/08/2021,19:15:04,60,13,7,6,2,123,26,57,2,Небольшая облачность
16/08/2021,20:15:04,55,14,8,7,2,136,22,73,км/ч,Ясно
16/08/2021,21:15:04,50,14,9,8,3,149,20,82,км/ч,Ясно
16/08/2021,22:15:05,45,13,8,9,3,163,19,88,2,Ясно
16/08/2021,23:15:05,45,13,8,9,3,163,18,87,км/ч,Ясно
17/08/2021,00:15:05,44,13,8,8,3,170,18,93,2,Ясно
17/08/2021,01:15:04,39,13,8,8,4,190,17,93,км/ч,Ясно
17/08/2021,02:15:04,39,13,8,7,4,192,17,93,км/ч,Ясно
17/08/2021,03:15:04,39,12,8,6,5,195,17,93,2,Ясно
17/08/2021,04:15:05,39,12,7,7,5,197,16,93,км/ч,Ясно
17/08/2021,05:15:05,40,12,8,7,4,196,16,93,км/ч,Стелющийся туман
17/08/2021,06:15:05,40,13,8,7,4,195,18,87,км/ч,Солнечно
17/08/2021,07:15:05,36,11,7,5,4,195,20,82,км/ч,Солнечно
17/08/2021,08:15:04,44,12,7,5,4,184,23,68,2,Солнечно
17/08/2021,09:15:04,51,13,7,5,3,172,25,60,6,Солнечно
17/08/2021,10:15:05,56,14,8,3,3,161,27,53,9,Солнечно
17/08/2021,11:15:05,62,14,8,3,3,150,28,47,9,Солнечно
17/08/2021,12:15:04,68,15,8,2,3,139,30,37,9,Солнечно
17/08/2021,13:15:05,72,15,8,1,2,171,30,37,6,Солнечно
17/08/2021,14:15:05,76,17,9,1,2,170,31,32,6,Солнечно
17/08/2021,15:15:05,80,19,10,1,2,170,32,31,6,Небольшая облачность
17/08/2021,16:15:04,77,21,10,1,1,169,31,30,9,Небольшая облачность
17/08/2021,17:15:05,73,21,10,3,1,176,31,32,6,Небольшая облачность
17/08/2021,18:15:06,69,22,11,5,1,183,30,39,9,Солнечно
17/08/2021,19:15:05,57,21,10,6,1,189,28,50,6,Солнечно
17/08/2021,20:15:05,56,20,10,6,1,195,23,73,км/ч,Ясно
17/08/2021,21:15:05,54,20,10,6,1,202,22,77,км/ч,Ясно
17/08/2021,22:15:04,56,28,11,5,1,208,21,77,км/ч,Ясно
17/08/2021,23:15:05,55,27,11,5,1,208,20,82,км/ч,Ясно
18/08/2021,00:15:05,53,27,10,4,1,209,19,88,км/ч,Ясно
18/08/2021,01:15:04,48,25,10,6,2,219,19,88,км/ч,Ясно
18/08/2021,02:15:04,47,24,10,5,2,219,18,93,км/ч,Ясно
18/08/2021,03:15:05,46,23,10,5,2,219,17,93,2,Ясно
18/08/2021,04:15:05,40,19,7,6,2,219,17,93,км/ч,Ясно
18/08/2021,05:15:05,40,19,7,6,2,219,17,93,км/ч,Стелющийся туман
18/08/2021,06:15:04,41,19,7,6,1,219,18,93,км/ч,Солнечно
18/08/2021,07:15:05,40,18,7,4,1,220,21,82,км/ч,Солнечно
18/08/2021,08:15:04,47,20,8,4,2,219,25,64,2,Солнечно
18/08/2021,09:15:04,55,22,8,4,2,219,27,57,6,Солнечно
18/08/2021,10:15:05,64,25,9,3,2,218,29,47,6,Солнечно
18/08/2021,11:15:05,70,28,10,2,2,214,30,42,13,Солнечно
18/08/2021,12:15:04,75,31,10,1,2,210,31,37,6,Небольшая облачность
18/08/2021,13:15:05,77,33,10,0,2,200,31,37,9,Небольшая облачность
18/08/2021,14:15:05,80,33,10,1,2,195,31,37,9,Небольшая облачность
18/08/2021,15:15:04,82,34,11,1,1,190,32,37,6,Небольшая облачность
18/08/2021,16:15:05,70,31,9,2,1,186,32,37,6,Небольшая облачность
18/08/2021,17:15:04,64,32,9,5,1,184,31,39,6,Небольшая облачность
18/08/2021,18:15:04,57,33,10,8,1,182,31,39,2,Небольшая облачность
18/08/2021,19:15:05,55,33,10,8,2,181,26,64,км/ч,Солнечно
18/08/2021,20:15:04,53,32,10,8,2,183,23,73,км/ч,Ясно
18/08/2021,21:15:04,51,32,10,8,2,186,21,82,км/ч,Ясно
18/08/2021,22:15:05,48,32,9,7,2,188,21,82,км/ч,Ясно
18/08/2021,23:15:04,52,32,8,6,2,184,20,88,2,Ясно
19/08/2021,00:15:04,55,31,8,6,2,181,20,82,2,Ясно
19/08/2021,01:15:05,54,28,7,6,1,184,21,72,6,Ясно
19/08/2021,02:15:04,55,27,7,5,1,180,20,77,9,Ясно
19/08/2021,03:15:05,56,27,7,5,1,177,22,68,6,Ясно
19/08/2021,04:15:04,53,25,6,5,1,174,19,88,2,Ясно
19/08/2021,05:15:04,54,25,7,5,1,173,18,87,6,Небольшая облачность
19/08/2021,06:15:04,55,25,7,5,1,173,20,82,2,Небольшая облачность
19/08/2021,07:15:04,50,23,6,4,1,172,23,73,2,Небольшая облачность
19/08/2021,08:15:04,56,24,6,4,2,175,24,64,6,Небольшая облачность
19/08/2021,09:15:04,62,25,7,3,2,179,27,53,6,Небольшая облачность
19/08/2021,10:15:04,62,23,6,3,2,182,29,51,13,Солнечно
19/08/2021,11:15:05,68,26,7,3,2,185,31,45,9,Солнечно
19/08/2021,12:15:05,74,28,8,2,2,187,33,33,13,Солнечно
19/08/2021,13:15:04,80,29,9,2,3,187,35,26,17,Солнечно
19/08/2021,14:15:05,81,29,9,2,3,180,35,26,17,Солнечно
19/08/2021,15:15:05,82,30,9,3,3,174,35,26,13,Небольшая облачность
19/08/2021,16:15:05,67,21,7,2,3,167,35,24,9,Небольшая облачность
19/08/2021,17:15:04,67,21,7,2,3,167,34,21,17,Небольшая облачность
19/08/2021,18:15:05,65,23,9,4,2,150,32,25,13,Солнечно
19/08/2021,19:15:05,64,24,9,4,2,142,28,36,2,Солнечно
19/08/2021,20:15:06,61,23,9,4,2,144,24,49,2,Ясно
19/08/2021,21:15:05,58,23,9,4,2,145,23,52,2,Ясно
19/08/2021,22:15:04,51,21,7,4,2,147,22,56,2,Ясно
19/08/2021,23:15:04,51,21,8,4,2,149,21,59,км/ч,Ясно
20/08/2021,00:15:05,50,22,8,4,2,151,19,67,км/ч,Ясно
20/08/2021,01:15:05,47,23,7,3,2,148,20,59,2,Ясно
20/08/2021,02:15:04,47,23,8,3,2,149,18,72,км/ч,Ясно
20/08/2021,03:15:04,46,23,8,3,2,151,17,72,км/ч,Ясно
20/08/2021,04:15:05,53,23,7,5,3,152,17,77,6,Ясно
20/08/2021,05:15:05,51,23,7,5,3,152,18,67,6,Небольшая облачность
20/08/2021,06:15:04,49,23,7,5,3,153,18,72,2,Небольшая облачность
20/08/2021,07:15:04,43,20,6,5,3,153,19,72,6,Небольшая облачность
20/08/2021,08:15:04,49,21,6,4,3,152,22,60,2,Солнечно
20/08/2021,09:15:04,55,22,6,4,3,150,26,41,2,Небольшая облачность
20/08/2021,10:15:05,60,21,6,4,2,149,27,41,9,Небольшая облачность
20/08/2021,11:15:05,65,21,6,4,2,149,27,47,9,Небольшая облачность
20/08/2021,12:15:05,70,22,6,3,3,149,29,42,13,Небольшая облачность
20/08/2021,13:15:04,72,26,6,4,3,146,29,44,6,Небольшая облачность
20/08/2021,14:15:04,76,28,7,4,3,149,30,42,2,Небольшая облачность
20/08/2021,15:15:05,80,30,8,4,3,152,32,37,6,Небольшая облачность
20/08/2021,16:15:04,71,31,9,4,4,155,32,33,2,Небольшая облачность
20/08/2021,17:15:05,70,31,9,5,4,157,32,37,6,Небольшая облачность
20/08/2021,18:15:04,69,31,9,5,3,160,31,39,6,Небольшая облачность
20/08/2021,19:15:04,66,30,9,5,3,163,27,53,6,Небольшая облачность
20/08/2021,20:15:05,61,29,9,6,3,164,24,64,2,Облачно с прояснениями
20/08/2021,21:15:05,57,29,9,7,2,165,24,56,6,Ясно
20/08/2021,22:15:05,51,20,8,6,2,166,22,68,2,Ясно
20/08/2021,23:15:04,52,21,8,5,2,166,22,68,км/ч,Облачно с прояснениями
21/08/2021,00:15:04,52,22,8,4,2,166,21,68,2,Ясно
21/08/2021,01:15:04,55,18,7,3,3,170,21,68,6,Ясно
21/08/2021,02:15:05,55,19,7,3,2,169,20,77,2,Ясно
21/08/2021,03:15:05,55,20,8,3,2,168,20,72,2,Ясно
21/08/2021,04:15:04,52,18,7,3,2,167,21,68,6,Ясно
21/08/2021,05:15:05,55,21,8,3,1,166,20,72,2,Небольшая облачность
21/08/2021,06:15:05,58,23,9,3,1,165,20,77,км/ч,Небольшая облачность
21/08/2021,07:15:04,56,20,8,2,1,164,21,72,9,Небольшая облачность
21/08/2021,08:15:04,58,21,9,2,2,165,22,77,2,Небольшая облачность
21/08/2021,09:15:04,60,22,10,1,2,167,24,64,2,Небольшая облачность
21/08/2021,10:15:04,62,25,9,2,2,168,24,60,2,Небольшая облачность
21/08/2021,11:15:05,68,31,11,2,3,169,26,50,6,Небольшая облачность
21/08/2021,12:15:05,73,37,12,2,3,170,29,39,2,Небольшая облачность
21/08/2021,13:15:05,66,34,12,1,3,175,29,39,6,Небольшая облачность
21/08/2021,14:15:04,69,33,12,1,3,174,29,39,6,Небольшая облачность
21/08/2021,15:15:04,72,33,11,1,2,173,29,44,2,Небольшая облачность
21/08/2021,16:15:04,79,30,10,1,2,171,29,51,км/ч,Небольшая облачность
21/08/2021,17:15:05,79,30,10,1,2,171,28,39,9,Небольшая облачность
21/08/2021,18:15:05,77,31,12,2,2,175,27,44,6,Небольшая облачность
21/08/2021,19:15:04,71,36,13,3,2,182,24,60,км/ч,Небольшая облачность
21/08/2021,20:15:04,67,35,12,3,2,188,22,73,км/ч,Облачно с прояснениями
21/08/2021,21:15:05,63,34,12,4,2,195,21,77,км/ч,Облачно с прояснениями
21/08/2021,22:15:04,62,39,18,3,2,202,21,72,км/ч,Облачно с прояснениями
21/08/2021,23:15:04,61,37,17,3,2,203,21,82,20,Ливень с грозой
22/08/2021,00:15:04,60,36,16,3,2,204,19,93,км/ч,Облачно с прояснениями
22/08/2021,01:15:05,61,61,30,2,2,196,19,93,6,Облачно с прояснениями
22/08/2021,02:15:04,62,57,27,1,2,191,19,93,6,Гроза
22/08/2021,03:15:04,63,52,25,1,2,187,18,93,2,Облачно с прояснениями
22/08/2021,04:15:05,63,61,27,1,1,182,19,88,6,Облачно с прояснениями
22/08/2021,05:15:05,66,56,24,1,1,179,18,87,2,Небольшая облачность
22/08/2021,06:15:04,68,51,22,1,1,176,18,87,9,Небольшая облачность
22/08/2021,07:15:04,72,51,21,2,1,173,19,82,13,Небольшая облачность
22/08/2021,08:15:04,74,48,19,2,1,172,20,82,17,Небольшая облачность
22/08/2021,09:15:05,75,45,17,1,1,170,21,77,17,Небольшая облачность
22/08/2021,10:15:04,73,35,14,2,1,168,21,77,24,Преимущественно облачно
22/08/2021,11:15:04,76,35,13,2,1,164,21,77,17,Преимущественно облачно
22/08/2021,12:15:04,78,35,12,2,1,160,21,77,13,Преимущественно облачно
22/08/2021,13:15:04,77,33,12,3,1,154,22,73,13,Преимущественно облачно
22/08/2021,14:15:04,75,32,11,3,1,157,22,73,17,Преимущественно облачно
22/08/2021,15:15:04,73,31,10,3,1,160,19,88,13,Небольшой ливень
22/08/2021,16:15:04,70,27,9,3,1,163,18,87,9,Преимущественно облачно
22/08/2021,17:15:05,69,26,9,3,1,159,18,82,13,Преимущественно облачно
22/08/2021,18:15:04,68,25,8,3,1,156,19,72,9,Небольшая облачность
22/08/2021,19:15:04,69,21,7,2,2,152,17,82,2,Небольшая облачность
22/08/2021,20:15:05,66,22,8,3,2,149,14,93,6,Облачно с прояснениями
22/08/2021,21:15:04,63,23,8,4,2,147,15,93,2,Облачно с прояснениями
22/08/2021,22:15:05,54,16,7,6,3,144,15,93,2,Облачно с прояснениями
22/08/2021,23:15:05,52,17,7,6,3,143,15,93,6,Ясно
23/08/2021,00:15:04,51,17,8,5,3,142,16,93,6,Облачно с прояснениями
23/08/2021,01:15:04,51,14,8,5,3,144,16,100,9,Облачно с прояснениями
23/08/2021,02:15:04,51,14,8,4,2,141,16,93,6,Преимущественно облачно
23/08/2021,03:15:04,50,15,8,4,2,139,15,93,2,Облачно с прояснениями
23/08/2021,04:15:04,48,15,9,6,2,136,13,93,км/ч,Стелющийся туман
23/08/2021,05:15:04,48,16,9,6,2,135,12,100,6,Стелющийся туман
23/08/2021,06:15:04,48,17,10,6,2,133,13,93,2,Стелющийся туман
23/08/2021,07:15:04,42,15,9,5,2,132,15,93,6,Солнечно
23/08/2021,08:15:04,49,15,9,5,2,129,17,82,6,Солнечно
23/08/2021,09:15:04,57,15,9,5,2,127,19,67,6,Небольшая облачность
23/08/2021,10:15:04,62,15,9,3,2,124,20,55,13,Небольшая облачность
23/08/2021,11:15:04,67,16,10,3,2,121,21,49,13,Преимущественно облачно
23/08/2021,12:15:04,73,17,10,2,2,119,20,52,13,Преимущественно облачно
23/08/2021,13:15:04,69,16,10,3,1,118,22,43,13,Преимущественно облачно
23/08/2021,14:15:04,72,17,10,3,1,118,22,43,13,Преимущественно облачно
23/08/2021,15:15:04,74,18,10,3,1,117,23,37,13,Преимущественно облачно
23/08/2021,16:15:04,62,16,9,3,1,117,21,45,9,Преимущественно облачно
23/08/2021,17:15:05,62,16,9,4,1,118,22,46,9,Преимущественно облачно
23/08/2021,18:15:05,61,16,9,5,1,119,21,49,6,Небольшая облачность
23/08/2021,19:15:04,55,12,7,5,1,120,18,63,6,Небольшая облачность
23/08/2021,20:15:04,51,13,8,6,2,130,16,77,км/ч,Ясно
23/08/2021,21:15:05,48,13,8,7,2,140,14,82,км/ч,Ясно
23/08/2021,22:15:05,45,15,9,7,3,150,13,87,км/ч,Ясно
23/08/2021,23:15:04,43,15,9,7,3,155,12,87,2,Ясно
24/08/2021,00:15:04,40,15,9,6,3,159,11,100,км/ч,Ясно
24/08/2021,01:15:05,34,14,8,7,4,164,11,93,км/ч,Стелющийся туман
24/08/2021,02:15:05,34,14,8,7,4,166,11,93,км/ч,Стелющийся туман
24/08/2021,03:15:05,34,13,8,7,4,167,10,93,км/ч,Стелющийся туман
24/08/2021,04:15:04,33,12,7,7,4,169,9,100,км/ч,Стелющийся туман
24/08/2021,05:15:04,33,12,7,7,5,171,9,100,км/ч,Стелющийся туман
24/08/2021,06:15:04,34,12,8,7,5,173,9,93,2,Стелющийся туман
24/08/2021,07:15:04,33,12,7,7,5,175,13,93,2,Солнечно
24/08/2021,08:15:04,43,12,7,6,5,160,17,77,2,Солнечно
24/08/2021,09:15:04,52,12,7,6,5,146,20,59,6,Солнечно
24/08/2021,10:15:05,60,14,7,5,5,131,21,52,2,Небольшая облачность
24/08/2021,11:15:04,65,15,7,5,4,131,22,43,6,Небольшая облачность
24/08/2021,12:15:04,70,15,8,4,4,130,23,35,9,Преимущественно облачно
24/08/2021,13:15:05,70,19,8,2,3,125,23,35,6,Преимущественно облачно
24/08/2021,14:15:04,73,20,8,3,3,125,22,40,9,Преимущественно облачно
24/08/2021,15:15:04,76,21,8,3,3,125,23,37,2,Небольшая облачность
24/08/2021,16:15:04,65,19,8,3,2,125,22,49,2,Небольшая облачность
24/08/2021,17:15:04,64,19,8,3,2,127,22,49,2,Небольшая облачность
24/08/2021,18:15:05,64,19,8,4,2,129,22,40,6,Небольшая облачность
24/08/2021,19:15:05,61,15,7,4,2,130,18,63,2,Небольшая облачность
24/08/2021,20:15:05,56,15,7,4,2,134,17,67,2,Облачно с прояснениями
24/08/2021,21:15:04,51,15,8,5,2,139,14,82,км/ч,Ясно
24/08/2021,22:15:07,47,15,8,6,2,143,15,76,км/ч,Ясно
24/08/2021,23:15:09,46,15,8,6,2,143,16,72,9,Ясно
25/08/2021,00:15:04,45,15,8,5,2,143,14,82,6,Ясно
25/08/2021,01:15:04,45,16,9,7,2,147,12,87,6,Ясно
25/08/2021,02:15:05,45,15,9,6,2,146,12,93,2,Ясно
25/08/2021,03:15:06,45,15,9,6,2,145,12,93,2,Облачно с прояснениями
25/08/2021,04:15:05,49,17,9,7,2,145,11,100,2,Облачно с прояснениями
25/08/2021,05:15:04,49,17,10,7,2,145,11,93,2,Небольшая облачность
25/08/2021,06:15:04,48,17,10,7,2,146,11,93,6,Солнечно
25/08/2021,07:15:04,46,17,10,6,2,147,12,87,6,Солнечно
25/08/2021,08:15:04,52,17,10,6,2,148,14,76,2,Солнечно
25/08/2021,09:15:04,57,17,10,6,3,149,16,58,9,Солнечно
25/08/2021,10:15:05,58,17,9,5,3,150,17,48,6,Небольшая облачность
25/08/2021,11:15:05,64,17,9,5,2,154,19,42,13,Небольшая облачность
25/08/2021,12:15:05,70,18,9,4,2,158,19,36,20,Небольшая облачность
25/08/2021,13:15:05,69,17,9,3,1,177,19,39,13,Небольшая облачность
25/08/2021,14:15:05,71,17,9,4,1,178,19,39,13,Небольшая облачность
25/08/2021,15:15:05,74,17,9,4,1,179,19,36,9,Небольшая облачность
25/08/2021,16:15:04,71,18,10,2,1,180,19,39,13,Небольшая облачность
25/08/2021,17:15:04,66,19,10,5,1,181,18,42,13,Небольшая облачность
25/08/2021,18:15:04,60,21,11,9,1,182,17,48,6,Солнечно
25/08/2021,19:15:05,51,17,9,7,1,183,14,71,2,Солнечно
25/08/2021,20:15:04,48,17,9,7,2,190,12,76,км/ч,Ясно
25/08/2021,21:15:04,44,17,9,7,2,198,11,76,6,Ясно
25/08/2021,22:15:04,42,20,9,8,3,205,8,87,км/ч,Ясно
25/08/2021,23:15:05,43,19,9,7,2,200,8,93,км/ч,Ясно
26/08/2021,00:15:05,44,19,9,6,2,195,8,87,км/ч,Ясно
26/08/2021,01:15:04,47,18,8,7,2,181,6,100,км/ч,Ясно
26/08/2021,02:15:04,48,18,8,6,2,177,7,93,км/ч,Ясно
26/08/2021,03:15:04,49,18,8,5,2,174,7,93,км/ч,Ясно
26/08/2021,04:15:04,52,17,8,5,1,170,8,93,км/ч,Ясно
26/08/2021,05:15:05,53,17,8,6,1,170,9,93,9,Солнечно
26/08/2021,06:15:05,54,17,8,6,1,169,14,58,9,Солнечно
26/08/2021,07:15:05,50,16,7,5,1,169,15,58,9,Солнечно
26/08/2021,08:15:05,53,16,7,5,1,170,15,58,9,Солнечно
26/08/2021,09:15:05,57,16,7,5,1,172,15,62,6,Небольшая облачность
26/08/2021,10:15:04,60,15,7,5,1,174,15,67,6,Небольшая облачность
26/08/2021,11:15:05,70,15,8,4,4,130,16,63,2,Небольшая облачность
26/08/2021,12:15:04,67,16,7,4,1,174,17,63,6,Небольшой дождь
26/08/2021,13:15:05,65,16,7,3,1,186,17,63,2,Небольшой дождь
26/08/2021,14:15:05,66,17,7,4,1,184,17,67,6,Небольшая облачность
26/08/2021,15:15:04,67,18,8,4,1,183,17,72,2,Небольшой дождь
26/08/2021,16:15:05,66,15,7,3,1,181,17,72,6,Небольшая облачность
26/08/2021,17:15:04,63,16,7,3,1,181,17,72,13,Небольшой дождь
26/08/2021,18:15:05,61,17,8,4,1,180,17,67,9,Небольшая облачность
26/08/2021,19:15:05,57,15,8,4,1,179,16,67,6,Небольшая облачность
26/08/2021,20:15:04,55,15,8,3,2,182,16,67,6,Облачно с прояснениями
26/08/2021,21:15:05,54,15,8,3,2,184,17,59,9,Облачно с прояснениями
26/08/2021,22:15:05,52,13,7,3,2,186,16,63,6,Ясно
26/08/2021,23:15:05,52,13,7,2,2,183,17,59,13,Ясно
27/08/2021,00:15:04,53,13,7,1,1,180,16,63,6,Ясно
27/08/2021,01:15:04,58,12,6,3,1,169,15,67,2,Ясно
27/08/2021,02:15:05,57,12,6,3,1,166,13,76,6,Ясно
27/08/2021,03:15:05,56,13,7,3,1,163,15,67,2,Ясно
27/08/2021,04:15:04,54,13,7,5,1,159,13,81,9,Ясно
27/08/2021,05:15:04,54,12,7,4,1,158,14,76,2,Небольшая облачность
27/08/2021,06:15:04,53,12,7,4,1,157,14,76,9,Небольшая облачность
27/08/2021,07:15:04,46,12,7,4,1,156,14,76,13,Небольшая облачность
27/08/2021,08:15:04,49,13,7,4,1,155,16,67,9,Солнечно
27/08/2021,09:15:05,52,13,7,4,1,155,18,59,9,Солнечно
27/08/2021,10:15:04,48,13,7,3,2,154,19,55,13,Солнечно
27/08/2021,11:15:04,70,18,9,4,2,158,20,52,13,Солнечно
27/08/2021,12:15:05,60,14,7,2,1,146,20,48,13,Солнечно
27/08/2021,13:15:04,59,13,6,2,1,135,22,46,13,Солнечно
27/08/2021,14:15:05,61,13,6,2,1,135,22,40,17,Небольшая облачность
27/08/2021,15:15:04,64,14,7,2,1,135,22,43,17,Небольшая облачность
27/08/2021,16:15:05,59,13,6,2,1,135,22,43,13,Солнечно
27/08/2021,17:15:04,57,12,6,2,1,135,21,40,13,Солнечно
27/08/2021,18:15:05,56,12,6,3,1,135,20,45,13,Солнечно
27/08/2021,19:15:04,49,10,6,3,1,135,19,48,13,Солнечно
27/08/2021,20:15:05,48,10,5,3,1,134,17,55,20,Облачно с прояснениями
27/08/2021,21:15:04,47,9,5,3,1,134,15,62,20,Облачно с прояснениями
27/08/2021,22:15:04,48,11,5,2,1,134,14,62,17,Облачно с прояснениями
27/08/2021,23:15:04,49,11,5,2,1,132,13,66,9,Ясно
28/08/2021,00:15:04,50,11,5,2,1,129,13,66,9,Ясно
28/08/2021,01:15:04,50,9,4,2,1,129,12,71,9,Ясно
28/08/2021,02:15:05,50,10,5,2,1,128,12,71,9,Ясно
28/08/2021,03:15:05,50,10,5,2,1,128,10,81,6,Ясно
28/08/2021,04:15:05,44,11,5,3,1,127,7,93,9,Ясно
28/08/2021,05:15:05,44,11,6,3,1,128,6,93,6,Солнечно
28/08/2021,06:15:05,45,11,6,3,1,128,8,93,9,Солнечно
28/08/2021,07:15:04,41,10,5,3,1,128,12,71,6,Солнечно
28/08/2021,08:15:05,44,10,5,3,1,129,13,62,13,Солнечно
28/08/2021,09:15:04,47,11,5,3,1,131,15,54,17,Солнечно
28/08/2021,10:15:04,49,10,5,2,1,132,15,51,17,Солнечно
28/08/2021,11:15:05,67,16,7,4,1,174,16,47,17,Солнечно
